"PupID","MomID","Birthday","Sex","PND","PupMass_g","MomMass_g","ForearmLength_mm","Year"
"Pink99","Orange08",2024-06-10,"F",0,NA,NA,NA,2024
"Pink99","Orange08",2024-06-10,"F",1,NA,NA,NA,2024
"Pink99","Orange08",2024-06-10,"F",2,4.77,27.95,19.85,2024
"Pink99","Orange08",2024-06-10,"F",3,5.11,24.59,20.45,2024
"Pink99","Orange08",2024-06-10,"F",4,5.76,24.3,22.15,2024
"Pink99","Orange08",2024-06-10,"F",5,6.48,26.47,22.9,2024
"Pink99","Orange08",2024-06-10,"F",6,7.66,25.02,25,2024
"Pink99","Orange08",2024-06-10,"F",7,8.4,25.37,27.35,2024
"Pink99","Orange08",2024-06-10,"F",8,8.94,24.07,29.6,2024
"Pink99","Orange08",2024-06-10,"F",9,9.67,26.26,31,2024
"Pink99","Orange08",2024-06-10,"F",10,10.69,25.19,32.5,2024
"Pink99","Orange08",2024-06-10,"F",11,10.64,25.84,33.45,2024
"Pink99","Orange08",2024-06-10,"F",12,11.37,23.79,35.7,2024
"Pink99","Orange08",2024-06-10,"F",13,11.91,25.52,36.5,2024
"Pink99","Orange08",2024-06-10,"F",14,12.42,25.87,38.7,2024
"Pink99","Orange08",2024-06-10,"F",15,12.3,24.49,39.25,2024
"Pink99","Orange08",2024-06-10,"F",16,13.22,26.19,40,2024
"Pink99","Orange08",2024-06-10,"F",17,13.04,23.96,40.5,2024
"Pink99","Orange08",2024-06-10,"F",18,13.21,23.23,41.3,2024
"Pink99","Orange08",2024-06-10,"F",19,13.24,22.79,42.15,2024
"Pink99","Orange08",2024-06-10,"F",20,13.48,23.64,42.3,2024
"Pink99","Orange08",2024-06-10,"F",21,13.1,24.25,43.5,2024
"Pink99","Orange08",2024-06-10,"F",22,12.7,20.48,43.2,2024
"Pink99","Orange08",2024-06-10,"F",23,12.3,22.19,43.1,2024
"Pink99","Orange08",2024-06-10,"F",24,12.3,21.75,43.1,2024
"Pink99","Orange08",2024-06-10,"F",25,12.02,19.04,43.1,2024
"Pink99","Orange08",2024-06-10,"F",26,12,22.13,44.15,2024
"Pink99","Orange08",2024-06-10,"F",27,11.8,19.87,44.1,2024
"Pink99","Orange08",2024-06-10,"F",28,11.65,23.64,44.65,2024
"Pink99","Orange08",2024-06-10,"F",29,11.59,21.02,44.45,2024
"Pink99","Orange08",2024-06-10,"F",30,11.83,20.34,44.5,2024
"Pink100","Orange08",2024-06-10,"M",0,NA,NA,NA,2024
"Pink100","Orange08",2024-06-10,"M",1,NA,NA,NA,2024
"Pink100","Orange08",2024-06-10,"M",2,4.46,27.95,19.05,2024
"Pink100","Orange08",2024-06-10,"M",3,4.88,24.59,20.35,2024
"Pink100","Orange08",2024-06-10,"M",4,5.62,24.3,22.6,2024
"Pink100","Orange08",2024-06-10,"M",5,6.19,26.47,23.3,2024
"Pink100","Orange08",2024-06-10,"M",6,7.34,25.02,25.65,2024
"Pink100","Orange08",2024-06-10,"M",7,8.08,25.37,27.55,2024
"Pink100","Orange08",2024-06-10,"M",8,8.62,24.07,28.9,2024
"Pink100","Orange08",2024-06-10,"M",9,9.5,26.26,31.3,2024
"Pink100","Orange08",2024-06-10,"M",10,10.33,25.19,32.2,2024
"Pink100","Orange08",2024-06-10,"M",11,10.57,25.84,33.8,2024
"Pink100","Orange08",2024-06-10,"M",12,11.28,23.79,35.3,2024
"Pink100","Orange08",2024-06-10,"M",13,11.4,25.52,36.9,2024
"Pink100","Orange08",2024-06-10,"M",14,12.13,25.87,37.6,2024
"Pink100","Orange08",2024-06-10,"M",15,12.35,24.49,38.3,2024
"Pink100","Orange08",2024-06-10,"M",16,13,26.19,39.1,2024
"Pink100","Orange08",2024-06-10,"M",17,13.15,23.96,40.2,2024
"Pink100","Orange08",2024-06-10,"M",18,13.09,23.23,40.7,2024
"Pink100","Orange08",2024-06-10,"M",19,13.41,22.79,41.1,2024
"Pink100","Orange08",2024-06-10,"M",20,13.4,23.64,41.15,2024
"Pink100","Orange08",2024-06-10,"M",21,13.23,24.25,41.9,2024
"Pink100","Orange08",2024-06-10,"M",22,13,20.48,41.9,2024
"Pink100","Orange08",2024-06-10,"M",23,12.78,22.19,41.9,2024
"Pink100","Orange08",2024-06-10,"M",24,12.46,21.75,42.1,2024
"Pink100","Orange08",2024-06-10,"M",25,12.01,19.04,42.55,2024
"Pink100","Orange08",2024-06-10,"M",26,11.89,22.13,42.6,2024
"Pink100","Orange08",2024-06-10,"M",27,11.68,19.87,42.3,2024
"Pink100","Orange08",2024-06-10,"M",28,11.63,23.64,42.45,2024
"Pink100","Orange08",2024-06-10,"M",29,11.53,21.02,42.4,2024
"Pink100","Orange08",2024-06-10,"M",30,11.59,20.34,42.35,2024
"Pink101","Orange14",2024-06-08,"M",0,NA,NA,NA,2024
"Pink101","Orange14",2024-06-08,"M",1,NA,NA,NA,2024
