Condition,Rater,Observation id,Subject,PND,Behavior,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Description
Single,Easton,105807_blue_M_08June2025,blue,2,LET GO,POINT,15.382,15.382,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_08June2025,blue,2,MOM INITIATION,POINT,19.653,19.653,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_08June2025,blue,2,GUIDANCE,STATE,21.989,42.009,20.02,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_08June2025,blue,2,FIRST ATTACHMENT,POINT,60.494,60.494,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_08June2025,blue,2,SUCCESSFUL ATTACHMENT,STATE,60.494,324.291,263.797,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_08June2025,blue,2,ACCEPTANCE,POINT,324.291,324.291,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_12June2025,blue,6,LET GO,POINT,2.069,2.069,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_12June2025_X.MP4,
Single,Easton,105807_blue_M_12June2025,blue,6,MOM INITIATION,POINT,6.473,6.473,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_12June2025_X.MP4,
Single,Easton,105807_blue_M_12June2025,blue,6,FIRST ATTACHMENT,POINT,18.252,18.252,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_12June2025_X.MP4,
Single,Easton,105807_blue_M_12June2025,blue,6,SUCCESSFUL ATTACHMENT,STATE,18.252,309.943,291.691,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_12June2025_X.MP4,
Single,Easton,105807_blue_M_12June2025,blue,6,ACCEPTANCE,POINT,309.943,309.943,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_12June2025_X.MP4,
Single,Easton,105807_blue_M_16June2025,blue,10,LET GO,POINT,14.514,14.514,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_16June2025_J.MP4,
